Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Descripcion_Psicologica
1,4,3,4,5,4,2,3,2,2,"Hablador, Empático, Amable, Estable emocionalmente, Resiliente, Práctico, Convencional"
4,3,2,4,2,2,4,4,2,4,"Distante, Reflexivo, Directo, Crítico, Organizado, Seguro, Sereno, Creativo"
3,2,2,4,4,3,5,4,2,3,"Franco, Crítico, Disciplinado, Organizado, Sereno, Convencional, Tradicional"
3,3,3,5,2,2,3,4,1,3,"Reservado, Relajado, Sereno"
1,5,3,5,2,5,2,4,1,4,"Sociable, Entusiasta, Cooperador, Estable emocionalmente, Seguro, Original"
5,3,3,3,3,2,4,3,3,4,"Callado, Competitivo, Directo"
1,5,4,1,2,4,1,3,4,4,"Asertivo, Cooperador, Empático, Relajado, Ansioso, Preocupado, Creativo"
3,3,3,4,2,3,3,3,2,4,"Sereno, Resiliente, No convencional, Curioso"
1,4,2,5,4,5,2,4,2,3,"Sociable, Empático, Cooperador, Minucioso, Planificador, Estable emocionalmente, Relajado, Convencional, Pragmático"
3,5,1,5,2,3,1,5,2,4,"Cooperador, Amable, Organizado, Seguro, Intelectual"
5,2,5,3,4,1,4,2,3,2,"Reservado, Callado, Franco, Directo, Desorganizado, Pies en la tierra, Realista"
4,3,3,3,2,3,3,3,3,4,"Discreto, Imaginativo"
3,3,1,4,2,3,4,5,3,4,"Desconfiado, Fiable, Calmado, Imaginativo, Intelectual"
3,4,2,2,2,3,3,4,4,4,"Fiable, Disciplinado, Sensible al estrés, Intelectual, Curioso"
3,5,3,4,1,3,2,3,3,5,"Confiado, Calmado, Imaginativo"
3,4,2,4,3,4,2,4,2,3,"Confiado, Compasivo, Planificador, Calmado"
2,3,2,5,4,4,3,4,1,3,"Hablador, Fiable, Planificador, Resiliente, Convencional, Pragmático"
5,4,2,4,2,2,2,4,2,4,"Distante, Empático, Disciplinado, Estable emocionalmente, Resiliente, Creativo, Imaginativo"
3,3,4,2,3,3,2,2,4,4,"Descuidado, Relajado, Temperamental"
2,4,2,4,1,4,2,4,2,4,"Energético, Sociable, Compasivo, Organizado, Sereno, No convencional, Intelectual"
2,3,2,4,3,3,3,4,2,3,"Eficiente, Planificador, Sereno"
2,2,2,3,2,3,4,4,3,4,"Desconfiado, Eficiente, Planificador, Curioso, Original"
4,2,1,3,2,2,4,4,2,3,"Introvertido, Desconfiado, Fiable, Organizado, Relajado"
5,4,4,3,3,1,2,2,3,3,"Reservado, Callado, Conciliador, Amable, Flexible"
4,4,2,1,1,2,2,4,4,5,"Reservado, Amable, Fiable, Sensible al estrés, No convencional, Curioso"
4,3,3,1,4,2,3,4,5,2,"Reflexivo, Temperamental, Convencional"
4,4,1,3,3,2,2,4,3,3,"Reflexivo, Amable, Cooperador, Disciplinado"
4,3,2,1,4,2,4,4,5,2,"Reflexivo, Franco, Organizado, Planificador, Sensible al estrés, Inseguro, Pies en la tierra, Tradicional"
5,4,3,2,4,2,1,3,4,2,"Callado, Distante, Empático, Compasivo, Inseguro, Práctico"
3,5,3,4,4,3,1,3,2,2,"Compasivo, Cooperador, Relajado, Tradicional, Pragmático"
3,5,1,3,3,2,1,4,3,4,"Distante, Introvertido, Empático, Compasivo, Planificador, Minucioso"
2,4,5,3,1,3,2,1,2,5,"Compasivo, Descuidado, Relajado, Calmado, Original, Imaginativo"
3,3,2,2,3,3,3,3,4,3,"Sensible al estrés, Vulnerable"
4,3,2,4,1,2,2,4,2,4,"Discreto, Eficiente, Planificador, Resiliente, Sereno, Imaginativo"
2,5,2,5,1,5,1,3,1,5,"Sociable, Extrovertido, Empático, Amable, Resiliente, No convencional"
3,4,3,4,4,3,1,3,2,2,"Confiado, Amable, Estable emocionalmente, Pies en la tierra, Práctico"
3,5,3,5,2,3,1,2,1,3,"Confiado, Amable, Flexible, Espontáneo, Seguro, Calmado"
3,3,4,4,3,3,3,2,2,3,"Impulsivo, Relajado, Seguro"
2,3,2,3,1,4,3,4,3,5,"Entusiasta, Sociable, Organizado, Planificador, Imaginativo"
5,3,2,2,1,2,3,4,3,4,"Discreto, Organizado, Eficiente, Curioso"
3,4,3,3,4,3,2,3,3,2,"Conciliador, Tradicional"
4,3,3,4,2,1,2,2,3,3,"Reflexivo, Relajado, Calmado"
4,5,1,2,3,3,2,4,3,4,"Reservado, Introvertido, Compasivo, Planificador, Eficiente"
3,5,5,1,4,4,1,2,5,3,"Empático, Amable, Impulsivo, Relajado, Inseguro, Temperamental, Tradicional"
3,4,1,5,3,2,1,5,1,3,"Callado, Confiado, Eficiente, Seguro"
4,2,4,2,3,3,5,3,4,3,"Distante, Desconfiado, Franco, Descuidado, Preocupado, Ansioso"
2,4,3,5,2,3,3,3,1,4,"Sereno, Relajado, Curioso, Imaginativo"
3,4,4,4,1,3,1,2,3,5,"Empático, Compasivo, Impulsivo, Resiliente, Creativo"
4,4,1,5,3,3,3,4,1,3,"Reflexivo, Planificador, Organizado, Seguro"
3,3,3,4,1,4,3,3,2,4,"Relajado, Estable emocionalmente, Imaginativo, Curioso"
5,4,3,4,5,2,2,3,2,1,"Discreto, Callado, Amable, Confiado, Calmado, Seguro, Tradicional"
3,4,3,1,1,4,2,4,4,5,"Conciliador, Inseguro, Imaginativo, No convencional"
5,2,3,5,1,1,5,3,2,5,"Reflexivo, Introvertido, Escéptico, Directo, Seguro, Estable emocionalmente, Creativo"
3,3,4,3,4,3,3,3,3,2,"Relajado, Práctico"
3,4,3,5,3,2,2,3,1,3,"Discreto, Reservado, Amable, Confiado, Sereno"
3,3,1,5,1,3,3,5,1,5,"Disciplinado, Organizado, Resiliente, Calmado, No convencional"
3,4,3,5,3,3,2,3,1,3,"Empático, Seguro"
2,4,4,2,1,4,1,2,4,4,"Entusiasta, Amable, Impulsivo, Desorganizado, Preocupado, Inseguro, Creativo, Original"
3,3,3,4,1,3,4,3,1,4,"Directo, Crítico, Estable emocionalmente, Resiliente, Imaginativo, Curioso"
4,4,4,5,3,3,1,3,2,2,"Callado, Compasivo, Descuidado, Impulsivo, Resiliente, Realista"
2,3,3,3,3,4,3,4,3,3,"Energético, Hablador"
1,5,3,3,2,4,1,4,4,5,"Sociable, Extrovertido, Compasivo, Original"
3,2,4,3,2,3,5,2,3,5,"Franco, Competitivo, Descuidado, Desorganizado, Imaginativo"
1,4,2,4,2,4,2,4,3,5,"Entusiasta, Compasivo, Empático, Fiable, Resiliente, No convencional, Original"
5,4,4,2,2,1,2,2,5,5,"Discreto, Callado, Compasivo, Amable, Flexible, Impulsivo, Ansioso, Sensible al estrés, Original, Intelectual"
4,4,3,3,2,2,1,3,3,4,"Reflexivo, Callado, Cooperador, Amable, Original"
3,5,1,4,3,3,2,5,2,3,"Conciliador, Compasivo, Eficiente, Relajado"
4,4,2,3,4,2,2,4,3,2,"Callado, Conciliador, Disciplinado, Minucioso, Pies en la tierra, Práctico"
2,3,2,5,4,4,3,4,1,2,"Sociable, Extrovertido, Disciplinado, Fiable, Relajado, Realista"
3,3,1,3,2,3,3,4,3,5,"Minucioso, Fiable, Imaginativo, Intelectual"
4,3,3,3,3,3,3,3,4,4,Distante
3,3,2,3,2,3,4,3,3,4,"Crítico, Creativo, Curioso"
4,3,2,3,4,2,3,4,2,2,"Discreto, Distante, Fiable, Minucioso, Sereno, Calmado, Práctico, Pragmático"
4,4,3,4,3,2,2,3,2,3,"Reflexivo, Introvertido, Compasivo, Cooperador, Relajado"
3,3,4,2,4,4,3,3,4,3,"Flexible, Vulnerable, Temperamental, Tradicional, Pragmático"
4,4,5,2,2,2,2,2,3,3,"Introvertido, Discreto, Compasivo, Conciliador, Descuidado"
2,4,3,3,3,4,2,3,3,3,"Asertivo, Cooperador, Conciliador"
1,5,1,5,1,4,2,5,1,5,"Entusiasta, Sociable, Cooperador, Compasivo, Organizado, Seguro, Sereno, Original, Creativo"
3,3,4,4,4,2,3,3,2,3,"Introvertido, Reflexivo, Espontáneo, Impulsivo, Calmado, Estable emocionalmente, Tradicional"
2,4,5,3,3,3,2,1,3,2,"Empático, Espontáneo, Impulsivo, Práctico, Tradicional"
4,5,2,5,2,3,1,4,1,4,"Introvertido, Cooperador, Disciplinado, Organizado, Sereno, Creativo, Imaginativo"
3,4,4,5,4,3,3,2,1,3,"Espontáneo, Descuidado, Resiliente, Realista, Tradicional"
4,4,1,3,3,2,3,5,3,4,"Discreto, Fiable, Organizado"
4,5,3,3,1,3,1,4,3,5,"Discreto, Empático, No convencional, Curioso"
4,4,2,4,3,3,2,4,2,2,"Distante, Reservado, Empático, Amable, Organizado, Resiliente, Relajado, Convencional"
4,4,2,5,3,2,1,4,1,3,"Reflexivo, Empático, Organizado, Relajado, Estable emocionalmente"
3,3,3,1,3,3,3,3,5,4,"Sensible al estrés, Ansioso"
3,3,3,4,3,4,4,3,2,4,"Franco, Crítico, Calmado, Seguro"
3,2,4,1,3,3,5,3,5,3,"Franco, Desconfiado, Espontáneo, Inseguro"
1,5,2,2,3,4,1,3,3,3,"Asertivo, Empático, Confiado"
2,4,3,2,2,3,1,3,4,3,"Cooperador, Compasivo, Preocupado, Ansioso"
4,3,2,2,2,3,2,3,4,3,"Reservado, Preocupado"
4,4,1,3,2,2,2,5,3,5,"Callado, Distante, Empático, Amable, Disciplinado, Original"
4,4,3,3,2,2,1,3,3,4,"Introvertido, Cooperador, Empático, Original"
3,4,5,3,2,3,2,2,3,5,"Conciliador, Relajado, Flexible, Original, Intelectual"
3,4,1,5,1,3,2,4,2,5,"Amable, Planificador, Eficiente, Resiliente, Seguro, Curioso, Imaginativo"
2,4,1,2,3,4,2,4,4,3,"Sociable, Energético, Confiado, Planificador, Vulnerable"
2,3,5,4,2,3,3,2,3,4,"Espontáneo, Descuidado, Seguro, Sereno, Curioso"
3,3,4,5,2,3,4,3,1,4,"Escéptico, Desconfiado, Impulsivo, Relajado, Seguro, No convencional, Creativo"
2,4,3,4,2,3,2,3,3,4,"Conciliador, Amable, Seguro, Resiliente, Original"
3,3,1,4,4,2,3,5,2,2,"Introvertido, Fiable, Seguro, Resiliente, Convencional"
4,3,4,3,2,2,4,2,3,4,"Introvertido, Callado, Franco, Escéptico, Espontáneo, Imaginativo"
3,4,4,3,3,3,2,3,3,3,"Cooperador, Descuidado"
1,3,3,2,2,4,3,3,5,4,"Extrovertido, Energético, Temperamental, Curioso"
4,4,3,3,4,2,2,2,3,2,"Introvertido, Discreto, Confiado, Conciliador, Relajado, Pies en la tierra, Práctico"
2,2,5,2,1,4,4,2,4,4,"Entusiasta, Directo, Desconfiado, Descuidado, Espontáneo, Vulnerable, Inseguro, Original, Intelectual"
5,3,4,2,2,2,3,2,4,4,"Callado, Descuidado, Ansioso, Inseguro, Imaginativo"
4,2,2,4,4,3,3,4,2,3,"Callado, Distante, Escéptico, Desconfiado, Planificador, Calmado, Estable emocionalmente, Tradicional, Pragmático"
4,3,2,3,5,2,4,4,3,2,"Reservado, Crítico, Minucioso, Práctico"
5,3,5,5,3,1,2,1,1,3,"Distante, Relajado, Impulsivo, Resiliente, Seguro"
1,4,2,5,3,5,1,4,1,3,"Hablador, Confiado, Compasivo, Minucioso, Sereno, Relajado"
2,3,2,3,4,3,3,4,3,3,"Organizado, Minucioso, Pragmático, Pies en la tierra"
3,5,2,4,1,3,1,4,2,5,"Compasivo, Empático, Fiable, Sereno, Resiliente, Curioso, Creativo"
5,2,3,1,4,2,5,3,5,2,"Callado, Discreto, Desconfiado, Franco, Preocupado, Vulnerable, Práctico"
5,3,1,5,4,2,3,4,2,3,"Reservado, Discreto, Fiable, Eficiente, Estable emocionalmente, Tradicional"
2,1,3,2,3,4,4,3,3,3,"Sociable, Franco, Crítico"
3,3,4,3,2,2,4,2,3,4,"Introvertido, Distante, Crítico, Desorganizado, Descuidado, Curioso"
2,5,4,5,2,4,1,3,2,4,"Extrovertido, Confiado, Amable, Impulsivo, Flexible, Estable emocionalmente, Sereno, Imaginativo, Creativo"
2,4,2,2,4,3,2,4,4,3,"Cooperador, Fiable, Temperamental, Inseguro, Pies en la tierra, Realista"
4,3,4,5,3,2,3,2,1,3,"Introvertido, Impulsivo, Relajado, Estable emocionalmente"
2,3,2,4,2,3,2,4,3,4,"Planificador, Fiable, Relajado, Curioso, Creativo"
4,3,4,2,2,2,3,1,4,4,"Reservado, Reflexivo, Desorganizado, Descuidado, Inseguro, Creativo, Curioso"
3,4,2,3,3,2,1,4,3,3,"Reservado, Introvertido, Conciliador, Organizado, Disciplinado"
3,4,4,2,4,3,1,3,3,2,"Amable, Confiado, Descuidado, Relajado, Convencional, Práctico"
3,4,2,3,3,3,2,3,3,4,Conciliador
2,4,2,5,3,4,2,4,1,3,"Energético, Sociable, Conciliador, Compasivo, Minucioso, Relajado"
2,4,2,5,2,4,2,4,2,4,"Asertivo, Sociable, Conciliador, Confiado, Disciplinado, Planificador, Estable emocionalmente, Original, Intelectual"
1,3,2,5,2,4,3,4,2,4,"Extrovertido, Disciplinado, Planificador, Relajado, Original, Curioso"
2,2,4,4,2,4,4,3,2,4,"Energético, Asertivo, Franco, Desconfiado, Desorganizado, Seguro, Relajado, Creativo"
3,4,2,4,3,3,2,4,2,3,"Cooperador, Eficiente, Fiable, Estable emocionalmente"
1,4,3,4,2,5,3,4,2,3,"Energético, Sereno"
2,3,4,2,2,4,4,2,3,3,"Extrovertido, Franco, Flexible"
4,3,3,2,2,2,3,4,3,4,"Discreto, No convencional, Curioso"
3,3,2,2,2,3,2,3,4,4,"Vulnerable, Inseguro, Imaginativo, Intelectual"
2,3,3,2,1,4,4,3,3,5,"Asertivo, Extrovertido, Crítico, Imaginativo, Curioso"
1,3,2,3,3,4,2,4,3,3,"Entusiasta, Energético, Disciplinado"
5,3,4,3,3,2,3,3,4,3,"Distante, Discreto, Impulsivo, Espontáneo"
3,3,3,3,5,3,4,2,2,2,"Franco, Directo, Desorganizado, Calmado, Resiliente, Pies en la tierra"
3,5,5,4,2,3,1,2,3,4,"Cooperador, Compasivo, Flexible, Seguro, Imaginativo"
4,5,4,2,4,3,1,2,5,2,"Distante, Confiado, Compasivo, Descuidado, Relajado, Inseguro, Temperamental, Pragmático, Tradicional"
3,5,4,2,4,3,1,2,4,3,"Confiado, Compasivo, Impulsivo, Temperamental, Convencional, Tradicional"
3,5,3,5,1,3,1,3,1,5,"Compasivo, Conciliador, Resiliente, Estable emocionalmente, No convencional"
3,3,3,2,2,3,3,3,4,3,Temperamental
3,4,1,4,3,3,1,5,2,3,"Compasivo, Planificador, Relajado"
5,4,2,3,2,2,2,4,3,5,"Reservado, Callado, Cooperador, Conciliador, Minucioso, Intelectual"
4,4,3,4,2,3,2,3,2,4,"Introvertido, Compasivo, Calmado, Original, Curioso"
4,3,4,3,3,3,4,2,3,3,"Introvertido, Reservado, Desconfiado, Competitivo, Impulsivo"
4,3,3,1,3,2,2,3,4,2,"Reservado, Callado, Sensible al estrés, Tradicional, Pies en la tierra"
3,3,3,2,1,2,4,3,3,4,"Reflexivo, Franco, Original, Curioso"
4,5,4,4,2,2,1,3,3,3,"Reservado, Discreto, Conciliador, Descuidado, Relajado, Resiliente"
2,4,3,5,3,4,2,3,1,3,"Hablador, Empático, Confiado, Resiliente"
3,5,2,3,1,3,1,5,3,4,"Empático, Conciliador, Fiable, Imaginativo, Intelectual"
3,3,1,3,2,3,3,5,2,4,"Organizado, Planificador, Calmado, Curioso, Original"
2,3,4,2,3,3,3,2,4,3,"Desorganizado, Relajado, Temperamental"
3,4,3,3,5,2,3,3,2,2,"Introvertido, Reflexivo, Seguro, Calmado, Tradicional"
4,2,3,5,4,2,5,3,2,2,"Distante, Introvertido, Competitivo, Resiliente, Pies en la tierra"
1,4,2,3,1,4,3,4,3,4,"Asertivo, Hablador, Planificador, Organizado, Curioso"
4,4,3,5,2,1,1,2,2,4,"Distante, Empático, Compasivo, Espontáneo, Calmado, Intelectual, Creativo"
4,4,3,3,3,2,3,2,3,4,"Introvertido, Distante, Descuidado, Desorganizado"
4,5,2,3,1,3,1,3,3,5,"Distante, Empático, Cooperador, Intelectual, Imaginativo"
5,3,3,1,2,1,3,2,5,3,"Reflexivo, Distante, Espontáneo, Relajado, Vulnerable"
3,3,4,4,4,4,2,3,3,3,"Relajado, Impulsivo, Estable emocionalmente, Práctico"
4,2,3,4,3,2,4,2,3,3,"Callado, Competitivo, Franco, Impulsivo, Sereno"
3,3,1,5,3,4,3,5,1,4,"Minucioso, Eficiente, Calmado"
5,3,2,2,1,2,3,4,3,5,"Reservado, Disciplinado, Original"
4,4,4,3,2,3,2,3,3,4,"Reservado, Amable, Compasivo, Espontáneo, Creativo, Imaginativo"
4,3,2,2,4,2,2,4,3,3,"Distante, Minucioso, Fiable, Pies en la tierra"
2,3,4,1,4,4,2,2,5,3,"Extrovertido, Espontáneo, Sensible al estrés, Convencional"
5,4,1,4,1,2,2,5,2,5,"Reflexivo, Confiado, Fiable, Minucioso, Resiliente, Intelectual"
4,3,3,2,1,2,3,3,4,4,"Reflexivo, Introvertido, Preocupado, Intelectual, Curioso"
3,4,1,3,2,3,2,5,3,4,"Cooperador, Conciliador, Organizado, Creativo"
4,2,4,1,3,1,3,2,4,3,"Reservado, Callado, Competitivo, Descuidado, Relajado, Ansioso, Sensible al estrés"
2,3,5,1,4,4,4,2,4,3,"Hablador, Escéptico, Franco, Impulsivo, Flexible, Temperamental, Sensible al estrés, Realista, Práctico"
3,5,1,3,3,2,2,4,3,3,"Distante, Amable, Organizado"
1,3,1,4,4,4,3,5,1,2,"Extrovertido, Fiable, Calmado, Realista"
2,4,2,4,1,3,2,4,3,5,"Amable, Fiable, Estable emocionalmente, Imaginativo, No convencional"
2,3,3,4,4,3,2,3,2,2,"Calmado, Pies en la tierra"
2,2,3,1,3,3,3,3,4,4,"Crítico, Escéptico, Vulnerable, Preocupado"
2,4,1,4,4,3,2,5,2,2,"Compasivo, Empático, Organizado, Minucioso, Sereno, Práctico, Convencional"
4,3,2,2,2,3,3,4,4,4,"Reflexivo, Callado, Disciplinado, Eficiente, Inseguro, Imaginativo, No convencional"
5,3,3,2,3,1,4,2,4,3,"Distante, Competitivo, Desconfiado, Relajado, Flexible, Sensible al estrés, Inseguro"
2,5,1,3,2,3,2,5,2,4,"Amable, Disciplinado, Sereno, Calmado, No convencional"
4,4,2,4,3,3,2,4,2,4,"Discreto, Compasivo, Disciplinado, Organizado, Relajado, Sereno"
3,4,3,4,3,2,1,3,2,3,"Callado, Cooperador, Compasivo, Calmado"
2,3,4,2,2,4,2,3,5,4,"Extrovertido, Desorganizado, Descuidado, Sensible al estrés, Imaginativo, Original"
2,4,3,3,2,4,3,3,4,4,"Entusiasta, Curioso, No convencional"
4,3,1,3,1,3,2,5,3,5,"Introvertido, Minucioso, Eficiente, Imaginativo"
4,4,3,2,3,2,1,3,4,3,"Distante, Discreto, Cooperador, Compasivo, Vulnerable"
4,3,4,1,3,3,3,2,4,3,"Distante, Flexible, Ansioso, Preocupado"
1,4,2,3,2,5,1,4,3,4,"Energético, Asertivo, Amable, Compasivo, Planificador, Intelectual"
2,3,1,3,3,4,3,5,3,4,"Sociable, Organizado, Fiable"
3,2,2,3,4,3,4,4,2,2,"Franco, Escéptico, Minucioso, Eficiente, Resiliente, Convencional, Pragmático"
5,4,4,2,2,2,2,2,4,4,"Reservado, Confiado, Amable, Relajado, Desorganizado, Temperamental, Preocupado, Imaginativo, Original"
4,2,3,5,1,2,4,3,2,5,"Reflexivo, Competitivo, Relajado, Intelectual, Curioso"
1,4,4,3,2,5,2,3,3,5,"Sociable, Entusiasta, Conciliador, Flexible, Descuidado, Curioso, Imaginativo"
2,1,4,1,2,3,5,3,5,4,"Directo, Flexible, Relajado, Inseguro, No convencional, Original"
3,4,2,4,2,4,3,4,2,4,"Organizado, Planificador, Relajado, Estable emocionalmente, Curioso"
3,3,2,2,3,3,3,3,4,3,Inseguro
5,5,4,4,3,1,1,2,2,3,"Callado, Confiado, Cooperador, Flexible, Impulsivo, Seguro, Estable emocionalmente"
2,4,2,3,1,3,2,4,3,4,"Confiado, Cooperador, Eficiente, Fiable, Creativo"
2,3,3,3,2,4,3,3,3,4,"Energético, Creativo, Original"
3,4,2,1,1,4,1,3,4,5,"Compasivo, Preocupado, Sensible al estrés, Creativo, Curioso"
3,4,2,5,3,3,3,4,2,4,"Organizado, Relajado, Sereno"
2,4,2,4,2,3,2,4,3,4,"Conciliador, Amable, Organizado, Sereno, Seguro, Imaginativo, Curioso"
4,5,3,3,2,3,2,2,3,4,"Introvertido, Distante, Compasivo, Relajado, Impulsivo, Curioso"
3,5,1,4,1,4,2,5,2,4,"Cooperador, Eficiente, Relajado, Resiliente, Intelectual, No convencional"
1,2,3,3,1,5,4,3,3,4,"Extrovertido, Franco, No convencional, Curioso"
2,3,4,3,3,4,3,2,4,3,"Energético, Asertivo, Relajado"
3,3,2,2,3,3,3,4,3,4,Fiable
3,3,2,3,3,2,3,3,3,3,Introvertido
4,3,4,3,2,2,3,3,3,4,"Reservado, Discreto, Descuidado, Original"
2,4,4,3,2,4,2,3,2,4,"Energético, Amable, Cooperador, Espontáneo, Sereno, Resiliente, Curioso"
5,3,5,2,4,1,4,2,3,2,"Callado, Reservado, Franco, Espontáneo, Descuidado, Pragmático, Tradicional"
4,3,1,3,4,2,3,5,2,2,"Distante, Disciplinado, Relajado, Seguro, Pragmático"
3,4,4,3,2,4,3,2,3,4,"Flexible, No convencional, Intelectual"
5,3,3,3,4,2,3,3,3,2,"Reflexivo, Convencional"
